mnemonic,No qualifications,Highest level of qualification: Level 1 qualifications,Highest level of qualification: Level 2 qualifications,Highest level of qualification: Apprenticeship,Highest level of qualification: Level 3 qualifications,Highest level of qualification: Level 4 qualifications and above,Highest level of qualification: Other qualifications,Schoolchildren and full-time students: Age 16 to 17,Schoolchildren and full-time students: Age 18 and over,Full-time students: Age 18 to 74: Economically active: In employment,Full-time students: Age 18 to 74: Economically active: Unemployed,Full-time students: Age 18 to 74: Economically inactive
E07000010,31.2,15.6,17.0,4.0,10.4,14.9,6.9,2.6,1.9,0.8,0.2,0.9
E07000011,19.2,14.6,17.0,3.8,12.4,27.9,5.1,2.8,2.4,1.2,0.2,1.1
E07000012,15.3,11.1,14.4,3.9,11.3,40.1,4.0,2.9,3.0,1.3,0.2,1.6
E07000066,26.6,18.4,17.6,3.6,10.7,18.6,4.3,2.8,2.3,1.0,0.2,1.1
E07000067,22.8,16.5,18.1,3.9,12.0,22.2,4.4,2.7,2.1,1.1,0.1,0.9
E07000068,19.4,14.2,17.2,3.3,11.4,30.7,3.8,3.1,2.6,1.0,0.2,1.4
E07000069,29.9,18.0,17.8,4.6,10.6,14.6,4.4,2.7,1.9,1.0,0.2,0.8
E07000070,18.9,15.0,17.3,3.6,12.5,28.8,3.9,2.8,3.3,1.5,0.2,1.6
E07000071,19.4,14.3,16.7,3.4,13.8,27.2,5.2,2.5,7.6,2.4,0.7,4.5
E07000072,24.0,15.6,16.3,3.3,11.1,25.3,4.5,2.7,3.2,1.2,0.2,1.8
E07000073,26.0,18.8,17.2,3.6,11.2,17.6,5.6,3.0,2.9,1.5,0.3,1.1
E07000074,23.1,16.0,17.3,4.6,11.2,23.6,4.1,2.6,1.9,0.9,0.1,0.8
E07000075,23.6,17.8,18.4,4.3,11.9,20.0,4.0,2.8,2.0,1.0,0.1,0.8
E07000076,34.3,15.2,16.2,4.1,9.5,15.9,4.8,2.5,2.0,0.8,0.2,0.9
E07000077,17.7,13.9,17.2,3.3,12.0,31.9,4.0,3.3,2.4,1.0,0.1,1.3
E07000095,25.5,17.7,17.2,3.7,11.2,19.2,5.4,2.9,3.3,1.4,0.2,1.6
E07000096,18.8,14.7,16.1,3.5,11.6,30.9,4.4,2.9,2.8,1.3,0.2,1.4
E07000242,17.2,13.5,16.7,3.2,11.9,33.5,4.0,3.4,2.7,1.1,0.1,1.4
E07000098,19.4,14.1,15.8,2.9,11.2,30.8,5.8,3.2,4.6,1.5,0.2,2.9
E07000099,18.0,13.2,15.4,3.5,11.4,34.4,4.2,2.9,2.7,1.2,0.2,1.3
E07000240,12.9,10.0,13.3,2.8,10.4,46.3,4.2,3.1,3.4,1.4,0.2,1.8
E07000243,21.5,18.0,17.9,3.8,11.8,22.1,4.9,3.0,3.5,1.8,0.3,1.4
E07000102,17.6,13.2,15.8,3.3,11.5,33.9,4.6,3.1,3.2,1.3,0.2,1.7
E07000103,17.5,13.3,15.0,2.9,11.7,32.2,7.5,2.7,4.5,2.0,0.3,2.1
E07000241,17.2,13.0,15.0,3.2,15.7,30.0,5.8,2.7,13.1,4.0,1.3,7.8
E07000143,28.0,15.0,16.9,4.0,11.1,18.6,6.5,2.5,2.0,0.9,0.2,0.9
E07000144,22.9,14.8,17.5,5.5,12.0,23.2,4.3,2.6,2.1,1.1,0.1,0.8
E07000145,32.8,15.7,16.1,4.7,10.6,14.2,5.9,2.6,2.5,1.0,0.3,1.2
E07000146,29.3,14.5,16.2,3.8,11.0,19.1,6.1,2.5,2.1,0.9,0.2,1.0
E07000147,27.5,14.1,16.2,4.7,10.5,22.3,4.7,2.2,1.5,0.7,0.1,0.7
E07000148,22.6,12.8,13.8,2.6,15.2,27.7,5.2,1.9,11.6,3.3,1.0,7.3
E07000149,22.6,13.6,17.1,4.2,11.5,27.0,4.0,2.7,2.1,1.0,0.1,1.0
E07000200,22.8,14.5,17.5,3.9,11.6,25.8,3.9,2.9,2.0,0.9,0.1,0.9
E07000201,25.7,13.6,14.2,4.0,10.3,19.2,13.1,2.1,2.3,1.2,0.1,1.0
E07000202,25.8,15.9,16.3,3.8,11.4,20.6,6.2,2.8,3.4,1.5,0.3,1.5
E07000203,22.3,13.9,16.8,4.1,12.4,26.4,3.9,2.7,2.0,1.0,0.1,0.8
E07000204,22.4,14.6,17.2,3.9,12.0,24.6,5.3,2.7,2.3,1.2,0.1,0.9
E07000205,21.1,13.5,16.7,4.1,11.3,29.0,4.4,2.7,2.0,1.0,0.1,0.9
E07000206,29.8,14.2,16.2,5.4,11.7,17.9,4.7,2.6,2.1,0.9,0.3,0.9
E09000007,12.7,6.8,7.8,0.8,12.1,50.5,9.2,1.8,13.6,2.6,0.8,10.2
E09000001,6.7,4.3,6.6,0.7,7.2,68.4,6.2,1.0,6.2,1.5,0.4,4.3
E09000012,19.6,9.0,10.0,1.0,9.3,41.8,9.4,2.5,9.0,2.5,0.9,5.6
E09000013,12.8,7.0,8.3,1.2,10.7,49.6,10.5,1.7,9.0,2.5,0.6,5.9
E09000014,17.8,8.7,10.1,1.0,9.6,40.8,12.0,2.6,8.5,2.5,0.9,5.1
E09000019,17.0,8.0,8.4,1.0,9.8,48.1,7.8,1.9,10.7,2.5,0.9,7.4
E09000020,10.1,5.8,7.9,0.7,10.0,52.7,12.9,1.6,8.3,1.6,0.4,6.3
E09000022,14.2,8.5,9.8,1.1,9.7,46.6,10.1,2.1,7.7,2.6,0.8,4.3
E09000023,17.7,11.1,12.5,1.4,10.8,38.0,8.5,2.6,8.5,3.0,1.1,4.3
E09000025,20.6,11.4,11.2,1.0,9.9,30.1,15.7,3.1,14.9,5.6,2.0,7.3
E09000028,16.3,9.4,10.2,1.1,10.5,43.1,9.3,2.2,11.5,3.3,1.1,7.1
E09000030,20.0,9.3,8.7,0.9,10.1,41.0,10.0,2.3,12.1,3.6,1.2,7.2
E09000032,11.6,6.6,8.4,1.0,10.0,53.6,8.9,1.7,6.8,2.3,0.6,3.9
E09000033,12.8,6.6,7.8,0.8,9.2,50.3,12.6,1.7,10.0,1.9,0.6,7.5
E09000002,27.9,15.2,15.0,2.1,9.3,20.9,9.7,3.4,7.2,2.4,1.0,3.8
E09000003,15.5,9.7,12.1,1.3,10.2,40.3,10.9,3.0,7.3,2.1,0.7,4.5
E09000004,23.0,16.8,17.7,3.8,11.6,21.8,5.4,3.2,4.5,1.6,0.4,2.5
E09000005,19.2,10.4,10.9,1.2,9.7,33.3,15.4,2.9,9.1,3.0,1.0,5.0
E09000006,17.9,13.6,16.1,2.7,11.5,33.1,5.1,2.9,3.4,1.2,0.3,1.9
E09000008,17.6,13.8,15.2,2.1,11.4,31.8,8.0,3.2,5.9,2.2,0.7,3.0
E09000009,16.5,9.9,10.5,1.4,9.6,37.0,15.1,2.7,7.6,2.5,0.8,4.3
E09000010,23.0,12.9,13.8,1.9,10.5,28.7,9.2,3.3,7.0,2.2,0.8,3.9
E09000011,20.6,12.0,13.1,1.9,10.7,33.2,8.5,2.7,8.8,3.3,1.1,4.4
E09000015,16.8,10.9,12.8,1.7,10.4,36.8,10.7,3.3,6.8,2.3,0.6,3.9
E09000016,26.4,16.7,17.4,3.8,11.3,19.4,5.0,2.9,3.4,1.3,0.3,1.8
E09000017,19.1,14.0,14.2,2.9,12.5,28.0,9.2,3.0,8.9,2.9,0.9,5.1
E09000018,17.3,11.7,11.5,1.7,9.8,34.6,13.4,2.7,7.4,2.9,0.8,3.8
E09000021,13.4,9.8,12.2,2.0,13.5,41.4,7.8,2.4,10.2,3.3,1.0,5.8
E09000024,15.2,9.9,11.7,1.7,9.9,41.1,10.6,2.6,6.0,2.2,0.5,3.3
E09000026,18.5,12.2,13.1,1.7,10.3,33.9,10.3,3.3,7.6,2.4,0.9,4.3
E09000027,10.6,7.4,10.6,1.5,10.6,53.0,6.2,2.3,4.9,1.7,0.4,2.8
